lei,name
549300A68YW07V5R5G22,FUNDLOANS CAPITAL
549300M0SDF90SCNIY89,Gain Federal Credit Union
549300M8WGW2D17CZD19,"GARDNER FINANCIAL SERVICES, LTD."
549300TQVOMKNKFOH392,Gate City Bank
54930034MNPILHP25H80,Gateway First Bank
5493001XKL0FTNOJ0866,"GENEVA FINANCIAL, LLC"
549300QIUZLVR1OLDH55,GENISYS
549300P55E0GN57DEV03,"GEO-CORP, INC."
5493001P6QB5ISAUNV97,Georgia Banking Company
5493001B4U37VT2ML818,GESA
549300ESRQ6OLBB56N04,Glacier Bank
5493006XP2M53G3AP658,GLOBAL
549300DJES4HXFQRN790,GOLD Credit Union
5493002Y5XYV7DV1ZV88,"GOLD STAR MORTGAGE FINANCIAL GROUP, CORPORATION"
254900VHUBSJJKOMBF27,"Golden Empire Mortgage, Inc."
549300BDHZAV4ZQHQV19,GOLDENWEST
KD3XUN7C6T14HNAYLU02,Goldman Sachs Bank USA
549300X08QKYUH256I80,"Goldwater Bank, N.A."
549300OYEKEORA1GI088,"GoPrime Mortgage, Inc."
549300DM6DAOPSF8HL78,"Grand Bank for Savings, FSB"
549300L7610D7H3Z5585,Grand River Bank
549300337GB2P1WP7003,Grandbridge Real Estate Capital LLC
549300L04PDEYOR8VJ60,"GRAYSTONE FUNDING COMPANY, LLC"
549300W6J23SLH6AR815,GREAT LAKES
549300XKEC7P1D7OKJ16,Great Plains National Bank
1TMVIO1SD0RLIPEIW803,Great Southern Bank
549300V4GRCFGZBVVZ73,GREATER ALLIANCE
549300D5DG8D4966HK70,GREATER TEXAS FEDERAL CREDIT UNION
549300TMY3OACQC9U777,"Greenbox Loans, Inc."
5493007Z7FTUKQGFMZ98,GREYSTONE SERVICING COMPANY LLC
25490018IFQOT83Q7H49,GSF Mortgage Corporation
54930001NSTOD85LT125,"GUARANTEED RATE AFFINITY, LLC"
549300U3721PJGQZYY68,"GUARANTEED RATE, INC."
5493005HCI0Y8LUK5S48,GUARANTY HOME MORTGAGE CORPORATION
549300RD5IG88VPO6P22,"GUIDANCE RESIDENTIAL, LLC"
549300AQ3T62GXDU7D76,GUILD MORTGAGE COMPANY
5493003B2LEGQHDWRN55,HANSCOM
54930097J3TUZXBXXE75,HAPO COMMUNITY CREDIT UNION
54930028J11BWKUVGX50,HARBORSTONE
54930023DLYUOD6GKQ42,Hawthorn Bank
549300Z2B4FHRYOXTS09,Heritage Bank
549300KUIZTYQRC0R888,Heritage Bank National Association
549300GL7DLQR39MW179,HERITAGE GROVE Federal Credit Union
549300KHXD7JSQUZIJ22,"HIGHLANDS RESIDENTIAL MORTGAGE, LTD."
5493009JZ6NIQL6RQT28,HIGHMARK
549300CK7U1WMTIG6687,HighTechLending Inc
549300GMYQSCNQRCBL04,HIWAY
549300FTR6GEUX8QTI81,"HOME APPROVALS DIRECT, INC."
549300GHAXBE9Q7W9273,Home Federal Savings Bank
549300B4JDSKWJR1NR35,HOME FUNDING CORPORATION
549300LLQD0X2OTG0Y27,"Home Loan Investment Bank, F.S.B."
5493009YXZEN8325UC34,"HOME MORTGAGE ALLIANCE, LLC"
549300BRJZYHYKT4BJ84,HOME POINT FINANCIAL CORPORATION
549300AUFLERO59VGC71,"Home State Bank, National Association"
5493001HHBUTXHS7TZ96,HOMEAMERICAN MORTGAGE CORPORATION
5493001WHVQBGRSWEU75,"HOMEBRIDGE FINANCIAL SERVICES, INC."
549300NJVKCDJA5YC939,"HOMEOWNERS FINANCIAL GROUP USA, LLC"
549300RN01LBYR8ZVX74,"HOMESIDE FINANCIAL, LLC"
549300MFY0P4D234OB91,HOMESPIRE MORTGAGE CORPORATION
549300T3F9S1MKFKHC53,HOMESTEAD FUNDING CORP.
01KWVG908KE7RKPTNP46,HomeStreet Bank
549300RA3E0BUFO7YZ21,"Hometown Equity Mortgage, LLC"
549300UFNWYY11NLMW19,"Hometown Lenders, Inc."
549300COIWXM618UBE82,HomeTrust Bank
549300R77W0P105C3S50,HOMEXPRESS MORTGAGE CORP.
549300VBY3NBKUNMKL64,HONDA Federal Credit Union
549300715JT4HMT74E48,HORIZON
549300FRCDZ60TVZUA57,Howard Bank
1IE8VN30JCEQV1H4R804,"HSBC BANK USA, NATIONAL ASSOCIATION"
549300HPQK71BCBQVT93,HUGHES FEDERAL CREDIT UNION
549300THBFHMP4WJ0323,I.L.W.U. CREDIT UNION
549300UM6HPORF7X4415,IAA Credit Union
H98JYKDFKFZ5ZPCSMT69,Iberiabank
254900NZESTDEJZDVW90,Icon Credit Union
5493001PXRJMPLXPG540,IDAHO CENTRAL
549300MPGZVO0YIGL418,IDAHO STATE UNIVERSITY
2549003Z8R5QM0WPS603,IDB Global Federal Credit Union
549300U2WRK55BY8UC05,IMPAC MORTGAGE CORP.
549300HGDJQ37M5BE268,"INB, National Association"
549300RBN5KM5RUFOE42,Independent Bank
549300YCCZTMBHGTNQ79,Independent Bank
254900YLQBQNWLGKOI74,"Industrial and Commercial Bank of China USA, National Association"
549300DJT1WS6SELJS28,INDUSTRIAL CU OF WHATCOM COUNTY
5493000XC2Y1SLXRQP11,"INFINITY EQUITY GROUP, INC."
549300BU5TSYOCF3Y655,INLAND BANK & TRUST
5493002QI5QUDX4RGW52,INROADS
5493007VW2EU20PZYU97,INSPIRE HOME LOANS INC.
549300Q6YL1SFVPEGV90,"INTELLILOAN, INC."
549300S5FVOSK5DQJN30,INTERCAP LENDING INC.
549300DMIVL13D62WX91,"InterContinental Capital Group, Inc"
5493008ZTV4S0W9DCX64,"INTERNATIONAL CITY MORTGAGE, INC."
549300AHVQ1LDFNP8P69,Inwood National Bank
54930043NO4SOC3P8438,Iowa State Bank
254900N49YI2HHKDPS92,iQ Credit Union
